"","new_name","country","year","lon","lat","rank_cwur","national_rank_cwur","quality_of_education","alumni_employment","quality_of_faculty","publications","influence","citations_cwur","broad_impact","patents","total_score_cwur","rank_times","teaching","international","research","citations_times","income","total_score_times","num_students","student_staff_ratio","international_students","female_male_ratio","rank_shanghai","national_rank_shanghai","total_score_shanghai","alumni","award","hici","ns","pub","pcp"
"521","Showa University","Japan",2015,NA,NA,800,59,367,567,218,985,759,645,715,727,44.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Shinshu University","Japan",2015,NA,NA,529,30,367,517,218,594,602,368,486,244,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Shimane University","Japan",2015,NA,NA,903,69,367,567,218,956,717,645,850,695,44.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Seoul National University","South Korea",2015,NA,NA,24,1,367,9,218,36,163,146,112,6,64.82,50,75.5,30.3,77.1,48.7,86.3,64.8,"26,389",13.9,"10%","",126,"1",NA,0,0,12.3,17.9,67.1,23.5
"534","Semmelweis University","Hungary",2015,NA,NA,617,2,367,567,218,650,481,511,529,670,44.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","Sejong University","South Korea",2015,NA,NA,868,31,367,567,218,788,845,812,837,466,44.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Saga University","Japan",2015,NA,NA,773,55,367,567,218,808,791,812,715,435,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Saarland University","Germany",2015,NA,NA,372,33,367,375,218,392,434,428,318,367,45.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","RWTH Aachen University","Germany",2015,NA,NA,230,18,357,238,131,197,359,182,219,158,46.9,156,39,56.8,29.9,75,69.8,49.2,"37,917",27.6,"16%","31 : 69",250,"14-21",NA,0,0,16.3,6.3,40.6,21.6
"555","Ruprecht Karl University of Heidelberg","Germany",2015,NA,NA,76,1,38,402,51,69,61,46,46,243,52.32,70,52.6,63.1,45.4,81.4,41.6,59.6,"28,881",24.5,"17%","55 : 45",46,"1",32.2,19.9,25.3,23.7,29.4,51.7,34.2
"558","Royal Institute of Technology","Sweden",2015,NA,NA,126,4,199,30,105,221,300,321,318,797,49.54,126,45.7,84,44.8,55.1,100,52.5,"12,062",14.6,"21%","30 : 70",250,"6-7",NA,0,14.9,3.6,10.3,38.3,24.2
"561","Rovira i Virgili University","Spain",2015,NA,NA,644,19,367,567,218,555,573,428,579,485,44.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","Ritsumeikan University","Japan",2015,NA,NA,926,72,367,325,218,906,882,511,984,430,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","Rensselaer Polytechnic Institute","United States of America",2015,NA,NA,282,110,137,142,218,402,346,182,292,210,46.19,238,30.9,42.8,26.2,67.8,49.9,NA,"6,671",15,"16%","30 : 70",350,"103-125",NA,12.6,0,13.9,12,22.1,23.5
"572","Queensland University of Technology","Australia",2015,NA,NA,621,18,367,567,218,477,750,511,558,492,44.48,288,29.9,69.8,36,42.9,71.9,NA,"33,391",35.8,"17%","54 : 46",450,"20",NA,0,0,0,3.3,34.6,18.5
"574","Queen's University Belfast","United Kingdom",2015,NA,NA,343,33,183,387,218,306,276,264,313,377,45.53,263,30.1,88.6,25.1,52.2,43.7,NA,"17,940",17.9,"30%","54 : 46",350,"29-33",NA,17.8,0,0,10.1,31.4,17.6
"580","Pukyong National University","South Korea",2015,NA,NA,898,33,367,567,218,906,962,812,896,356,44.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","Pontifical Catholic University of Chile","Chile",2015,NA,NA,376,1,343,139,218,446,310,645,388,396,45.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"2",NA,0,0,3.6,8,30.8,15.6
"585","Pompeu Fabra University","Spain",2015,NA,NA,375,9,367,567,218,397,164,428,318,604,45.31,165,25.1,63.2,28.3,88.3,35.9,48.1,"10,901",18.3,"13%","59 : 41",250,"2-5",NA,0,0,5,19.7,26.4,33.6
"592","Pierre and Marie Curie University","France",2015,NA,NA,63,4,30,404,88,31,35,68,63,87,53.79,103,47.3,64.7,30,83.3,33.4,53.9,"27,862",8.7,"18%","48 : 52",36,"1",35,33.6,27.4,25.8,29.8,59.2,23.9
"596","Paul Valéry University, Montpellier III","France",2015,NA,NA,740,33,367,567,218,837,502,287,686,871,44.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","Paul Sabatier University - Toulouse III","France",2015,NA,NA,236,13,367,567,218,158,102,321,188,514,46.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,"9-15",NA,0,0,12.3,20.2,35.5,13.8
"606","Osaka City University","Japan",2015,NA,NA,474,22,108,414,218,484,536,321,471,374,44.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Norwegian University of Science and Technology","Norway",2015,NA,NA,243,2,252,119,75,279,366,212,273,327,46.67,288,33.5,54.7,29.6,49.6,45,NA,"17,381",13.9,"9%","46 : 54",126,"2",NA,13.6,21,10.1,12.9,36.4,20
"620","Norwegian University of Life Sciences","Norway",2015,NA,NA,789,5,367,567,218,769,570,511,715,782,44.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","North Dakota State University - Main Campus","United States of America",2015,NA,NA,792,211,172,567,218,702,790,812,770,871,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Niigata University","Japan",2015,NA,NA,468,20,367,285,218,527,514,511,447,238,44.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Nihon University","Japan",2015,NA,NA,473,21,301,565,218,599,588,812,637,113,44.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Nicolaus Copernicus University in Toruń","Poland",2015,NA,NA,911,6,367,567,218,873,821,511,867,698,44.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","National Yang-Ming University","Taiwan",2015,NA,NA,542,5,367,567,218,345,517,511,495,824,44.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","National University of Singapore","Singapore",2015,NA,NA,65,1,367,98,218,34,125,78,90,25,53.44,25,72,94.9,78.1,66,53.4,73.3,"31,592",15.5,"34%","49 : 51",126,"1",NA,0,0,19.3,20.3,59.5,32.2
"645","National University of Colombia","Colombia",2015,NA,NA,968,2,367,312,218,871,732,812,994,861,44.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","National Tsing Hua University","Taiwan",2015,NA,NA,407,4,262,520,218,238,425,428,375,731,45.14,263,39.4,24.8,40.3,49.1,49.4,NA,"10,221",13.5,"5%","33 : 67",250,"2",NA,12.6,0,5.1,12.9,32.6,21.1
"647","National Technical University of Athens","Greece",2015,NA,NA,695,6,187,567,218,514,950,511,659,871,44.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","National Taiwan University of Science and Technology","Taiwan",2015,NA,NA,916,15,367,567,218,598,991,812,886,823,44.12,376,27.7,26.7,42.6,30.9,82,NA,"7,446",17.4,"11%","34 : 66",NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","National Taiwan Ocean University","Taiwan",2015,NA,NA,946,17,367,413,218,790,940,812,946,871,44.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","National Sun Yat-Sen University","Taiwan",2015,NA,NA,803,11,367,567,218,461,950,511,781,871,44.24,376,26.4,24.2,32.9,39,47,NA,"9,336",19.6,"4%","37 : 63",450,"6-7",NA,0,0,12.3,2.3,26.5,19.6
"653","National Research Nuclear University MEPhI","Russia",2015,NA,NA,755,4,306,567,218,957,699,428,671,871,44.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","National Polytechnic Institute","Mexico",2015,NA,NA,786,2,330,567,218,573,579,428,741,620,44.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","National Chung Cheng University","Taiwan",2015,NA,NA,865,13,367,567,218,796,991,645,809,871,44.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","National Chiao Tung University","Taiwan",2015,NA,NA,386,3,367,206,218,240,651,428,413,871,45.24,288,35,30.7,40.7,40.4,98.2,NA,"12,646",16.6,"5%","27 : 73",350,"3-5",NA,0,0,8.6,8.8,32.1,19.3
"659","National Cheng Kung University","Taiwan",2015,NA,NA,226,2,367,52,218,164,485,812,388,436,46.97,376,31.8,26.7,40.1,28.4,100,NA,"21,234",14.4,"11%","36 : 64",350,"3-5",NA,0,0,10.1,4.9,40.7,17.2
"660","National Central University","Taiwan",2015,NA,NA,564,8,225,567,218,384,468,511,520,839,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","National and Kapodistrian University of Athens","Greece",2015,NA,NA,301,1,367,200,218,245,416,428,273,871,45.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"1",NA,0,0,10.6,4.4,38.9,19.7
"664","Nanyang Technological University","Singapore",2015,NA,NA,135,2,367,567,218,102,361,212,204,32,49.29,61,43.9,92.5,55.9,75.9,100,62.2,"25,028",16.2,"33%","48 : 52",176,"2",NA,0,0,11.2,10.5,50.5,26.2
"673","Nagoya University","Japan",2015,NA,NA,125,9,39,322,53,138,140,146,195,78,49.57,238,37.5,31.8,31.8,59.9,86.3,NA,"15,529",7.9,"10%","29 : 71",77,"3",26.7,29,25.3,16.8,17.7,44.3,23.1
"674","Nagoya Institute of Technology","Japan",2015,NA,NA,827,60,367,504,218,825,958,645,921,229,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Nagoya City University","Japan",2015,NA,NA,599,34,367,333,218,785,525,368,565,400,44.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Nagasaki University","Japan",2015,NA,NA,486,24,299,214,218,614,607,645,529,233,44.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Missouri University of Science and Technology","United States of America",2015,NA,NA,718,199,367,246,218,718,923,645,826,592,44.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Mines ParisTech","France",2015,NA,NA,104,5,278,23,169,977,834,812,906,871,50.34,238,39.6,58.7,23.2,55.1,99,NA,"1,283",5.6,"22%","28 : 72",450,"19-22",NA,13.6,24.9,0,3.6,7.8,13.6
"685","Mie University","Japan",2015,NA,NA,780,57,367,567,218,835,860,645,741,368,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Middle East Technical University","Turkey",2015,NA,NA,470,1,367,120,218,550,879,511,659,871,44.87,85,45.5,38.7,36.9,92,55.2,56.6,"25,779",22.2,"7%","44 : 56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Memorial University of Newfoundland","Canada",2015,NA,NA,611,24,367,567,218,552,577,645,529,653,44.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Mayo Medical School","United States of America",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,"52-65",NA,0,0,35.4,12.8,46.5,29.5
"700","Masaryk University","Czech Republic",2015,NA,NA,702,2,367,567,218,645,519,645,622,705,44.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Martin Luther University of Halle-Wittenberg","Germany",2015,NA,NA,497,40,358,567,210,394,345,812,413,706,44.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"29-39",NA,0,6.7,3.6,9.4,25.9,14
"703","Marche Polytechnic University","Italy",2015,NA,NA,662,35,367,567,218,688,649,812,565,748,44.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","Lund University","Sweden",2015,NA,NA,117,2,136,466,169,85,135,53,60,871,49.75,119,32.6,70.1,48.5,74.9,32.6,52.9,"28,251",11.5,"15%","",126,"4",NA,21.2,0,22.5,16.3,49.7,21.2
"719","London School of Economics and Political Science","United Kingdom",2015,NA,NA,279,25,78,65,91,503,739,264,590,871,46.22,34,65.4,87.4,74.2,71.3,40.6,70.9,"",NA,"","",126,"10-17",NA,19.9,16.3,15.2,NA,31.2,28.7
"720","Lomonosov Moscow State University","Russia",2015,NA,NA,59,1,14,175,48,268,254,287,344,861,54.19,196,55.9,60.4,42.1,33.8,78.5,46,"30,822",7.7,"20%","43 : 57",86,"1",25.3,41.4,33,0,7.7,46.4,31.3
"732","Kyushu University","Japan",2015,NA,NA,100,7,367,49,218,152,182,264,200,37,50.6,376,36.5,26.1,28.5,33.6,68.7,NA,"18,925",6.7,"8%","28 : 72",250,"8-9",NA,0,0,13.1,12.3,44.2,17.5
"733","Kyungpook National University","South Korea",2015,NA,NA,307,8,367,412,218,355,625,321,413,66,45.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"9-12",NA,0,0,0,3.3,35,17
"734","Kyung Hee University","South Korea",2015,NA,NA,401,12,245,495,218,380,584,645,558,95,45.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"6-8",NA,0,0,5,4.4,38.9,18
"739","Kumamoto University","Japan",2015,NA,NA,419,17,308,353,218,495,441,428,409,152,45.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Korea University","South Korea",2015,NA,NA,115,3,367,58,218,172,411,321,273,26,49.79,213,48.9,35.9,44.3,39.9,98.5,NA,"24,043",15.8,"14%","",250,"2-5",NA,0,0,8.7,8.7,50.7,22.1
"741","Korea Advanced Institute of Science and Technology","South Korea",2015,NA,NA,144,4,367,194,218,183,283,368,289,8,48.95,52,63.5,34.9,63.2,71.4,100,64.5,"9,027",10,"9%","20 : 80",250,"2-5",NA,0,0,8.3,14.1,38.8,28.7
"742","Konkuk University","South Korea",2015,NA,NA,602,22,367,388,218,533,748,812,686,204,44.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Kitasato University","Japan",2015,NA,NA,732,48,367,567,218,725,595,812,646,871,44.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","King Abdullah University of Science and Technology","Saudi Arabia",2015,NA,NA,704,2,367,567,126,691,529,812,946,182,44.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"3",NA,0,0,20.3,9.5,22.4,15.5
"753","Kindai University","Japan",2015,NA,NA,737,50,367,567,218,680,712,428,686,437,44.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","Keio University","Japan",2015,NA,NA,34,3,284,5,218,309,246,368,270,80,59.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"10-12",NA,0,0,10.1,12.2,32.5,13.4
"759","Karlsruhe Institute of Technology","Germany",2015,NA,NA,213,16,356,208,131,193,280,146,247,103,47.15,165,40.5,60.1,34.9,62.9,82.7,48.1,"25,294",24.6,"16%","26 : 74",250,"14-21",NA,0,0,12,14.9,37.2,20.3
"760","Kaohsiung Medical University","Taiwan",2015,NA,NA,757,10,367,567,218,539,854,812,699,661,44.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","Kangwon National University","South Korea",2015,NA,NA,812,27,367,567,218,706,819,645,781,428,44.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","Kaiserslautern University of Technology","Germany",2015,NA,NA,691,47,367,522,218,679,523,812,606,668,44.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","Juntendo University","Japan",2015,NA,NA,465,19,367,567,218,653,498,428,362,853,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","Joseph Fourier University","France",2015,NA,NA,188,8,195,567,218,110,93,234,170,160,47.71,178,38,57.3,29.3,73,31.3,47.1,"16,130",12.1,"13%","",176,"7-8",NA,0,14.9,16.3,21.9,32.9,18.2
"772","Johannes Gutenberg University of Mainz","Germany",2015,NA,NA,233,19,367,567,194,210,185,161,164,523,46.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,"14-21",NA,0,7.7,8.9,15.9,35.2,20.1
"775","Jikei University School of Medicine","Japan",2015,NA,NA,775,56,367,567,218,959,711,645,686,797,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","Jichi Medical University","Japan",2015,NA,NA,722,45,367,567,218,930,633,511,637,641,44.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","Jean Monnet University","France",2015,NA,NA,880,44,367,567,218,626,486,812,850,710,44.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","Jawaharlal Nehru Centre for Advanced Scientific Research","India",2015,NA,NA,777,12,367,567,218,868,650,645,715,453,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","Jagiellonian University","Poland",2015,NA,NA,451,1,367,567,218,403,465,645,375,355,44.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"1-2",NA,10.3,0,3.6,5.9,33.6,17.1
"790","International School for Advanced Studies","Italy",2015,NA,NA,576,32,367,567,218,623,406,812,486,768,44.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","Inje University","South Korea",2015,NA,NA,813,28,367,567,218,838,928,812,809,331,44.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Inha University","South Korea",2015,NA,NA,578,20,367,381,218,568,780,511,565,273,44.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","Indian Institute of Technology Kharagpur","India",2015,NA,NA,614,8,367,242,218,500,974,812,686,644,44.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","Huazhong Agricultural University","China",2015,NA,NA,858,52,367,567,218,651,535,645,837,494,44.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","Hokkaido University","Japan",2015,NA,NA,178,10,279,277,135,148,173,287,251,53,47.97,376,38.4,25.2,27.5,32.2,43.4,NA,"18,162",8.2,"9%","29 : 71",176,"6-7",NA,11.5,16.3,7.2,15.6,42.2,18.7
"820","Hirosaki University","Japan",2015,NA,NA,945,73,367,505,218,951,844,511,906,693,44.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","Heriot-Watt University","United Kingdom",2015,NA,NA,707,55,367,335,218,601,597,812,715,439,44.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","Hanyang University","South Korea",2015,NA,NA,192,6,367,168,218,286,471,368,396,31,47.6,376,31.5,48.4,32.3,29,88.7,NA,"16,729",10.4,"19%","",350,"6-8",NA,0,0,0,6.9,40.5,21.6
"831","Hamamatsu University School of Medicine","Japan",2015,NA,NA,863,66,367,567,218,990,917,645,826,470,44.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","Hallym University","South Korea",2015,NA,NA,952,35,367,567,218,884,908,812,921,565,44.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","Hacettepe University","Turkey",2015,NA,NA,634,3,367,567,218,658,630,428,549,871,44.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","Gyeongsang National University","South Korea",2015,NA,NA,434,15,367,567,218,633,673,645,606,93,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840","Graduate University for Advanced Studies","Japan",2015,NA,NA,524,29,367,567,218,613,291,645,420,871,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","Gifu University","Japan",2015,NA,NA,670,43,367,567,218,701,658,645,606,403,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","Gachon University","South Korea",2015,NA,NA,951,34,367,567,218,918,880,812,932,451,44.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","Fukuoka University","Japan",2015,NA,NA,862,65,367,567,218,971,876,812,837,416,44.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856","Fu Jen Catholic University","Taiwan",2015,NA,NA,971,19,367,446,218,984,887,812,958,824,44.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859","Fluminense Federal University","Brazil",2015,NA,NA,915,9,367,313,218,802,892,645,958,871,44.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862","Florida Institute of Technology","United States of America",2015,NA,NA,823,214,367,567,218,973,793,368,770,871,44.21,200,19.7,63,13.1,99.2,53.7,45.6,"4,408",13.7,"26%","34 : 66",NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","Feng Chia University","Taiwan",2015,NA,NA,983,21,367,434,218,902,991,812,975,871,44.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","Federico Santa María Technical University","Chile",2015,NA,NA,960,4,367,567,218,955,923,368,946,645,44.07,263,13,48.7,10.1,99.7,28.1,NA,"11,718",34,"2%","24 : 76",NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","Ewha Womans University","South Korea",2015,NA,NA,390,11,367,567,218,462,509,645,457,107,45.2,376,23.5,36,18,57.6,61.3,NA,"17,625",14.4,"6%","100 : 0",450,"9-12",NA,0,0,5,8.6,27.7,15.9
"880","ESPCI ParisTech","France",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"16-18",NA,7.3,18.8,0,10.3,15,29.3
"881","Erasmus University Rotterdam","Netherlands",2015,NA,NA,85,1,367,46,189,87,147,53,44,227,51.78,72,39.8,66.2,53.7,82.3,54.4,59.1,"20,580",18.9,"18%","48 : 52",176,"8",NA,0,14.9,22,8,33.6,26.4
"882","Eotvos Lorand University","Hungary",2015,NA,NA,458,1,89,567,116,559,444,287,495,724,44.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"1-2",NA,13.6,0,10.1,7,23.5,13.7
"885","Ehime University","Japan",2015,NA,NA,651,40,367,514,218,619,582,511,590,418,44.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","Ege University","Turkey",2015,NA,NA,779,6,367,567,218,761,839,511,699,871,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","École normale supérieure de Cachan","France",2015,NA,NA,721,32,121,323,218,895,776,428,826,871,44.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","Ecole Normale Superieure - Paris","France",2015,NA,NA,37,2,8,502,54,379,157,645,295,871,58.8,78,48.7,81.9,36.2,84.8,39.4,58.1,"2,400",7.9,"20%","46 : 54",72,"3",27.6,48.9,28,6.2,19.5,26.4,60.5
"893","École centrale de Lyon","France",2015,NA,NA,881,45,367,255,218,856,841,812,991,570,44.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","Dresden University of Technology","Germany",2015,NA,NA,210,15,367,567,218,188,212,146,195,102,47.25,135,39.8,44.7,42,70.8,99.5,51.6,"35,487",37.4,"12%","42 : 58",250,"14-21",NA,0,0,10.7,14.6,40.8,21.7
"903","Dongguk University","South Korea",2015,NA,NA,560,19,367,305,218,927,917,812,997,108,44.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905","Delft University of Technology","Netherlands",2015,NA,NA,255,9,307,300,218,224,224,264,247,146,46.46,71,55.5,77.9,71.4,42.6,100,59.2,"15,920",19.4,"25%","26 : 74",250,"9-10",NA,11.5,0,8.6,18.1,38.9,21.7
"908","Dankook University","South Korea",2015,NA,NA,834,29,367,567,218,888,948,645,896,241,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
