new_name,country,lon,lat
Saint Louis University,United States of America,-90.287589,38.6853936
University of Missouri–St. Louis,United States of America,-90.287589,38.6853936
University of Missouri–Kansas City,United States of America,-90.2188993,38.7134283
University of Mississippi Medical Center,United States of America,-90.1685014,32.3343018
LSU Health Sciences Center New Orleans,United States of America,-90.0715323,29.9510658
University of Southern Mississippi,United States of America,-89.9444701,35.1159002
University of Memphis,United States of America,-89.940639,35.11837
University of Mississippi - Oxford Campus,United States of America,-89.5125712,34.3630968
University of Wisconsin - Madison,United States of America,-89.4301473,43.0412831
Mississippi State University,United States of America,-88.7903868,33.4555279
University of Wisconsin–Milwaukee,United States of America,-87.8814302,43.075164
Loyola University Chicago,United States of America,-87.8364936,41.8610565
Medical College of Wisconsin,United States of America,-87.8197543,42.5785266
University of Illinois at Chicago,United States of America,-87.6704474,41.8696656
Northern Illinois University,United States of America,-87.6341005,41.8829936
Illinois Institute of Technology,United States of America,-87.6272216,41.8313852
University of Alabama - Tuscaloosa,United States of America,-87.4748546,33.1915242
Purdue University - West Lafayette,United States of America,-86.9337787,40.4137374
University of Alabama in Huntsville,United States of America,-86.6599148,34.7392496
Indiana University - Bloomington,United States of America,-86.5269373,39.1670467
University of Notre Dame,United States of America,-86.2377772,41.6973401
Indiana University-Purdue University Indianapolis,United States of America,-86.0577399,39.9673126
University of Southern California,United States of America,-85.7659121,38.1999105
University of Louisville,United States of America,-85.7626595,38.2189292
Brandeis University,United States of America,-85.7614305,38.2192846
Auburn University,United States of America,-85.4861115,32.6033726
Miami University,United States of America,-84.7316109,39.5105848
Georgia Institute of Technology,United States of America,-84.3988806,33.7784626
Florida State University,United States of America,-84.3369554,30.4011161
University of Alabama at Birmingham,United States of America,-84.2991072,30.4563298
University of Dayton,United States of America,-84.180085,39.7405392
Wright State University - Dayton,United States of America,-84.0651383,39.7875367
University of Tennessee - Knoxville,United States of America,-83.9422647,35.9403636
Georgia State University,United States of America,-83.90536,32.5297685
Concordia University,Canada,-83.682841,42.273544
Michigan Technological University,United States of America,-83.2499678,42.4740967
University of Toledo,United States of America,-83.0952509,42.3243464
SUNY Downstate Medical Center,United States of America,-83.0562734,42.3543741
Michigan State University,United States of America,-83.0511744,42.332507
University of Windsor,Canada,-83.0382508,42.3168908
Ohio State University,United States of America,-83.0202802,39.9578076
University of Ottawa,Canada,-83.0182189,42.3077541
Georgia Regents University,United States of America,-82.9000751,32.1656221
University of North Dakota,United States of America,-82.4748741,28.0234949
University of Oregon,United States of America,-82.47247,28.0465059
University of Florida,United States of America,-82.4593395,28.0665864
University of Central Florida,United States of America,-82.4553299,28.0530332
University of Arizona,United States of America,-82.4530718,28.067177
University of Michigan,United States of America,-82.4522711,28.0674065
Catholic University of America,United States of America,-82.4013272,28.0645039
University of Chicago,United States of America,-82.3924269,28.0282578
University at Buffalo,United States of America,-82.3456738,36.3050274
University of Akron,United States of America,-81.5113878,41.0757602
Kent State University,United States of America,-81.4176553,41.1566596
East Carolina University,United States of America,-81.2826216,29.0254798
Brigham Young University,United States of America,-81.1858094,28.5750583
Emory University,United States of America,-81.0318397,29.2637357
University of Connecticut,United States of America,-81.0291938,29.2226697
Florida Atlantic University,United States of America,-81.0031363,29.2167645
University of North Carolina at Charlotte,United States of America,-80.7263216,35.2869669
Florida International University,United States of America,-80.7206765,28.313191
University of Waterloo,Canada,-80.541671,43.473289
University of Western Ontario,Canada,-80.5394907,43.4570369
University of Miami,United States of America,-80.2792843,25.7216374
Wilfrid Laurier University,Canada,-80.2302743,43.51908
University of Guelph,Canada,-80.225481,43.529442
University of North Carolina at Greensboro,United States of America,-80.180657,35.8757027
University of Pittsburgh,United States of America,-79.9531501,40.444331
Medical University of South Carolina,United States of America,-79.950825,32.787049
University of South Carolina,United States of America,-79.950825,32.787049
Carnegie Mellon University,United States of America,-79.9441368,40.4432289
York University,Canada,-79.500519,43.776279
Brock University,Canada,-79.4364757,43.6521257
University of Alberta,Canada,-79.432773,43.677718
University of British Columbia,Canada,-79.427313,43.631679
University of Quebec,Canada,-79.4209993,43.6334638
University of New Brunswick,Canada,-79.4158951,43.6321491
McMaster University,Canada,-79.4008767,43.6784669
University of Toronto,Canada,-79.3947916,43.659598
North Carolina State University,United States of America,-79.056442,36.0578965
University of North Carolina at Chapel Hill,United States of America,-78.9399682,35.9681485
University of Arkansas at Fayetteville,United States of America,-78.8783585,35.0526641
Kansas State University,United States of America,-77.8647309,40.787115
Pennsylvania State University,United States of America,-77.8600012,40.7933949
Wayne State University,United States of America,-77.8121099,40.811234
Washington State University,United States of America,-77.8097999,40.835219
Wesleyan University,United States of America,-77.7761614,36.017482
Rochester Institute of Technology,United States of America,-77.6737734,43.0800758
Thomas Jefferson University,United States of America,-77.6044712,43.1727273
University of Delaware,United States of America,-77.5829719,43.157618
Virginia Commonwealth University,United States of America,-77.47766,38.3242649
George Mason University,United States of America,-77.307587,38.83419
University of Pennsylvania,United States of America,-77.1945247,41.2033216
Georgetown University,United States of America,-77.0722585,38.9076089
George Washington University,United States of America,-77.0470916,38.8991756
Howard University,United States of America,-77.0204624,38.9212171
University of New Hampshire,United States of America,-76.9864864,38.9930467
University of Rhode Island,United States of America,-76.9465209,38.9457849
"University of Maryland, Baltimore County",United States of America,-76.9422054,38.9822549
"University of Maryland, Baltimore",United States of America,-76.9384877,38.9685891
"University of Maryland, College Park",United States of America,-76.922904,38.9809132
College of William and Mary,United States of America,-76.7100318,37.2701796
Johns Hopkins University,United States of America,-76.6003432,39.32726
University of Los Andes (Colombia),Colombia,-76.5381883,3.4326203
Old Dominion University,United States of America,-76.3040214,36.8838958
State University of New York Upstate Medical University,United States of America,-76.1413774,43.0438004
Binghamton University,United States of America,-76.028319,42.117732
Carleton University,Canada,-75.698312,45.3830819
Temple University,United States of America,-75.1495788,39.980825
Rutgers University-New Brunswick,United States of America,-74.4490235,40.5028168
"Rutgers, The State University of New Jersey - Newark",United States of America,-74.1833997,40.7363654
New Jersey Institute of Technology,United States of America,-74.1282427,40.3249291
Rockefeller University,United States of America,-73.9559421,40.7626225
State University of New York Health Science Center at Brooklyn,United States of America,-73.9441579,40.6781784
Yeshiva University,United States of America,-73.9290202,40.8511337
State University of New York Albany,United States of America,-73.9036413,40.8784209
City University of New York City College,United States of America,-73.8465009,40.7857783
"Queens College, City University of New York",United States of America,-73.8244593,40.7370967
École Polytechnique de Montréal,Canada,-73.6130801,45.504661
University of Sherbrooke,Canada,-73.573484,45.505109
University of Montreal,Canada,-73.5671943,45.5016933
New York Medical College,United States of America,-73.1146681,40.9098883
University of Concepción,Chile,-73.038889,-36.8275
Icahn School of Medicine at Mount Sinai,United States of America,-73.0295495,40.9470432
University of Massachusetts Amherst,United States of America,-72.5312372,42.3951291
University of Massachusetts Lowell,United States of America,-71.8257868,42.2468714
Harvard University,United States of America,-71.1166286,42.3800977
Massachusetts Institute of Technology,United States of America,-71.0934,42.3591
University of Massachusetts Boston,United States of America,-71.0934,42.3591
Northeastern University,United States of America,-71.0894884,42.340082
University of Chile,Chile,-70.650391,-33.443809
University of Tromsø - The Arctic University of Norway,Norway,-70.5448096,44.2139566
Bangor University,United Kingdom,-68.7778138,44.8011821
"University of Maine, Orono",United States of America,-68.6714486,44.8922637
University of Puerto Rico at Mayagüez,Puerto Rico,-67.1451517,18.2013463
National University of Córdoba,Argentina,-64.1887761,-31.4200833
University of Buenos Aires,Argentina,-58.3951433,-34.5810691
National University of La Plata,Argentina,-57.9535657,-34.9204948
Queen's University,Canada,-52.7305585,47.5773383
University of Campinas,Brazil,-51.1892999,-23.3035384
University of Brasília,Brazil,-51.1754408,-23.2928657
University of Sao Paulo,Brazil,-51.1602134,-23.3131265
Federal University of Rio Grande do Sul,Brazil,-51.1183331,-30.0699383
Federal University of Santa Catarina,Brazil,-50.2188556,-27.2423392
Federal University of Paraná,Brazil,-49.2677116,-25.4291044
Federal University of Minas Gerais,Brazil,-48.2580759,-18.916396
Federal University of Santa Maria,Brazil,-48.2580759,-18.916396
Federal University of São Carlos,Brazil,-47.8909263,-22.0087082
Federal University of ABC,Brazil,-46.5265494,-23.6476859
Federal University of São Paulo,Brazil,-46.5265494,-23.6476859
Federal University of Bahia,Brazil,-45.0218618,-12.1484877
Federal University of Rio de Janeiro,Brazil,-43.2258954,-22.8626877
Rio de Janeiro State University,Brazil,-43.1728965,-22.9068467
Federal University of Ceará,Brazil,-40.3367746,-3.6812737
Federal University of Pernambuco,Brazil,-37.2418632,-9.3722349
University of Iceland,Iceland,-21.9493575,64.1404869
Jaume I University,Spain,-15.4549534,28.0755143
Universidade Nova de Lisboa,Portugal,-9.1603293,38.7325996
University of Lisbon,Portugal,-9.1487286,38.7181334
"National University of Ireland, Galway",Ireland,-9.0654626,53.2847921
University of Vigo,Spain,-8.8006641,42.2018823
University of Aveiro,Portugal,-8.653527,40.6282384
University of Porto,Portugal,-8.5962233,41.1785734
University of Limerick,Ireland,-8.5663,52.67923
University of Santiago de Compostela,Spain,-8.5448445,42.8782132
University of Coimbra,Portugal,-8.5059903,40.1179531
University College Cork,Ireland,-8.4911977,51.893609
University of Minho,Portugal,-8.397568,41.557583
Royal College of Surgeons in Ireland,Ireland,-8.24389,53.41291
University of A Coruña,Spain,-7.8627803,42.3306852
"National University of Ireland, Maynooth",Ireland,-6.5918499,53.3812896
University of Córdoba (Spain),Spain,-6.3800471,39.4548686
University of Valencia,Spain,-6.3770934,39.4576621
University of Málaga,Spain,-6.3766227,39.4677265
University of Extremadura,Spain,-6.3678554,39.4835608
University of Cádiz,Spain,-6.3034112,36.5335142
Dublin City University,Ireland,-6.2588538,53.3853811
Trinity College Dublin,Ireland,-6.2576899,53.3454782
